timestamp,user_id,anomaly_type,y_true,rf_score,rf_pred,iforest_score,iforest_pred
2025-02-14 14:56:20,user_025,normal,0,0.013403197902637007,0,0.4830577475848941,0
2025-01-24 18:55:56,user_055,normal,0,0.274133461055797,0,0.6000758812226255,1
2025-01-06 10:31:58,user_042,normal,0,0.11323614004525476,0,0.506467185821101,0
2025-02-28 12:35:53,user_037,normal,0,0.0005011617288144595,0,0.4556835200870368,0
2025-02-24 14:06:53,user_002,normal,0,0.0005743342070897378,0,0.46286776739410773,0
2025-01-03 08:07:53,user_007,normal,0,0.0006826861531923449,0,0.4960547573943876,0
2025-01-28 10:12:54,user_086,normal,0,0.0036930243898309007,0,0.54129622276329,0
2025-01-22 17:12:19,user_055,normal,0,0.0005422976156010634,0,0.44275714388703924,0
2025-02-22 08:29:43,user_080,normal,0,0.0032470412832605756,0,0.53943814428093,0
2025-01-05 10:46:12,user_060,normal,0,0.0031367873111261663,0,0.4929454244628264,0
2025-01-18 08:27:52,user_085,unusual_ip_change,1,0.9139170900879663,1,0.5905593701467095,1
2025-02-13 10:34:41,user_015,normal,0,0.04151712012478944,0,0.525426061811171,0
2025-02-25 09:32:46,user_091,normal,0,0.0005604235033606872,0,0.45171651632217064,0
2025-02-01 11:06:31,user_089,normal,0,0.0017217491107126164,0,0.5572236101725648,0
2025-02-02 18:16:47,user_004,normal,0,0.000329555483841251,0,0.5209035552356872,0
2025-01-07 13:12:58,user_074,unusual_ip_change,1,0.9756852239241095,1,0.5293499497930153,0
2025-02-07 13:12:20,user_100,normal,0,0.0009404699993470246,0,0.5106167315793954,0
2025-02-25 17:28:26,user_077,normal,0,0.00029783694450561565,0,0.4824440127429655,0
2025-01-31 17:19:00,user_070,normal,0,0.000993913610317383,0,0.4811957008519673,0
2025-01-27 09:06:09,user_056,normal,0,0.0003825965050061834,0,0.4647903259966346,0
2025-01-22 10:57:59,user_009,normal,0,0.0003482383818425349,0,0.46720388543219893,0
